git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc
3151677,CA,2020,2,1,0,0,0,0,2,35540419,0.08867866751936718
2956652,JP,2020,2,1,0,0,0,0,2,127080000,0.023266068618193265
2568632,KR,2020,2,1,0,0,0,0,2,50423955,0.05094070863739268
1768177,ES,2020,2,1,0,0,0,0,2,46507760,0.0380189671573088
1631123,PL,2020,2,1,0,0,0,0,2,38496000,0.042371233374896095
1546578,NL,2020,2,1,0,0,0,0,2,16881000,0.09161649191398615
1467433,UA,2020,2,1,0,0,0,0,2,42973696,0.03414723741704693
1409299,AU,2020,2,1,0,0,0,0,2,23696900,0.05947187184821643
1118936,IT,2020,2,1,0,0,0,0,2,60769102,0.01841290990279896
1112939,ID,2020,2,1,0,0,0,0,2,252164800,0.0044135382892457635
1038412,HK,2020,2,0,0,0,0,0,2,7234800,0.14353015978326975
920613,VN,2020,2,0,0,0,0,0,2,89708900,0.010262225932989926
888822,SE,2020,2,1,0,0,0,0,2,9737521,0.0912780573207493
856745,CH,2020,2,1,0,0,0,0,2,8183800,0.10468792003714655
842705,TW,2020,2,1,0,0,0,0,2,23424615,0.03597519105436738
803902,MX,2020,2,1,0,0,0,0,2,119713203,0.006715232571297921
753909,CO,2020,2,1,0,0,0,0,2,47907800,0.015736665010708067
744663,AR,2020,2,1,0,0,0,0,2,42669500,0.017451880148583884
737223,IL,2020,2,1,0,0,0,0,2,8268400,0.08916150645832326
731619,SG,2020,2,1,0,0,0,0,2,5469700,0.13375852423350457
607130,BE,2020,2,1,0,0,0,0,2,11225469,0.05408504535534328
570416,TR,2020,2,1,0,0,0,0,2,76667864,0.007440092500816248
537746,CZ,2020,2,1,0,0,0,0,2,10521600,0.05110876672749392
486257,DK,2020,2,1,0,0,0,0,2,5655750,0.08597568845864828
476932,NG,2020,2,1,0,0,0,0,2,178517000,0.002671633513895035
476574,NO,2020,2,1,0,0,0,0,2,5156450,0.09242288783950198
458279,RO,2020,2,1,0,0,0,0,2,19942642,0.022979853923065962
449701,FI,2020,2,1,0,0,0,0,2,5470437,0.08220568119146605
440526,PT,2020,2,1,0,0,0,0,2,10477800,0.04204374964210044
439407,BY,2020,2,0,0,0,0,0,2,9475100,0.04637491952591529
429917,AT,2020,2,1,0,0,0,0,2,8527230,0.05041695837921576
415181,IE,2020,2,1,0,0,0,0,2,6378000,0.06509579805581688
390126,BD,2020,2,1,0,0,0,0,2,157486000,0.0024772106726947156
389032,PK,2020,2,1,0,0,0,0,2,188410000,0.002064816092564089
369416,NZ,2020,2,1,0,0,0,0,2,4547900,0.08122781943314497
368282,TH,2020,2,1,0,0,0,0,2,64871000,0.005677143870142282
345923,PH,2020,2,1,0,0,0,0,2,100697400,0.003435272410211187
339308,EG,2020,2,0,0,0,0,0,2,87668100,0.0038703701802594104
332131,HU,2020,2,1,0,0,0,0,2,9879000,0.03361990079967608
304045,ZA,2020,2,1,0,0,0,0,2,54002000,0.005630254435020925
269027,BG,2020,2,1,0,0,0,0,2,7245677,0.037129311726150645
265838,CL,2020,2,1,0,0,0,0,2,17819054,0.014918749334280034
240367,PE,2020,2,1,0,0,0,0,2,30814175,0.007800533358430008
240128,GR,2020,2,1,0,0,0,0,2,10992589,0.02184453544110491
231468,MY,2020,2,1,0,0,0,0,2,30430500,0.007606447478680929
224575,LK,2020,2,1,0,0,0,0,2,20277597,0.011075030241502483
220074,KE,2020,2,1,0,0,0,0,2,41800000,0.005264928229665072
200770,RS,2020,2,1,0,0,0,0,2,7186862,0.027935697109531255
176080,IR,2020,2,0,0,0,0,0,2,77966400,0.002258408750436085
149687,NP,2020,2,1,0,0,0,0,2,27646053,0.00541440761905506
134697,MA,2020,2,1,0,0,0,0,2,33465000,0.004025011205737337
134417,SK,2020,2,1,0,0,0,0,2,5415949,0.024818734445246807
130870,TN,2020,2,1,0,0,0,0,2,10982754,0.011915954777827129
130382,LT,2020,2,1,0,0,0,0,2,2927310,0.04453986766007017
118889,EC,2020,2,1,0,0,0,0,2,15888900,0.007482519242993537
118134,KZ,2020,2,1,0,0,0,0,2,17377800,0.006797983634292027
116660,HR,2020,2,1,0,0,0,0,2,4267558,0.02733647673915621
112115,EE,2020,2,1,0,0,0,0,2,1315819,0.08520548798884953
107400,AE,2020,2,1,0,0,0,0,2,9446000,0.011369892017785306
104827,CR,2020,2,1,0,0,0,0,2,4713168,0.02224130351389978
96502,SA,2020,2,1,0,0,0,0,2,30770375,0.003136198372623018
89131,VE,2020,2,0,0,0,0,0,2,30206307,0.00295074137993764
85742,SI,2020,2,1,0,0,0,0,2,2064966,0.04152223329585088
77173,UY,2020,2,1,0,0,0,0,2,3404189,0.022670010390139914
76233,GT,2020,2,1,0,0,0,0,2,15806675,0.0048228359221657935
74241,LV,2020,2,1,0,0,0,0,2,1991800,0.03727332061451953
64001,DO,2020,2,1,0,0,0,0,2,10378267,0.006166829201831096
62979,AM,2020,2,1,0,0,0,0,2,3009800,0.020924646155890757
61811,GH,2020,2,1,0,0,0,0,2,27043093,0.0022856483169288364
61168,DZ,2020,2,1,0,0,0,0,2,38700000,0.0015805684754521964
58824,BO,2020,2,1,0,0,0,0,2,10027254,0.005866411681602959
57844,MD,2020,2,1,0,0,0,0,2,3557600,0.016259275916348098
57048,JO,2020,2,1,0,0,0,0,2,6666960,0.00855682349976601
54166,IQ,2020,2,1,0,0,0,0,2,36004552,0.00150442088544804
52139,SV,2020,2,1,0,0,0,0,2,6401240,0.008145140629003131
51434,MM,2020,2,1,0,0,0,0,2,54688774,0.0009404855190207774
48781,BA,2020,2,1,0,0,0,0,2,3791622,0.012865470239385677
45570,UG,2020,2,1,0,0,0,0,2,34856813,0.0013073484371620549
44315,GE,2020,2,1,0,0,0,0,2,4490500,0.009868611513194521
44000,KG,2020,2,1,0,0,0,0,2,5776570,0.007616976856508274
43644,UZ,2020,2,0,0,0,0,0,2,30492800,0.0014312886976597754
39102,MK,2020,2,1,0,0,0,0,2,2058539,0.018995025112470542
38458,AZ,2020,2,1,0,0,0,0,2,9552500,0.004025961790107301
38088,AL,2020,2,1,0,0,0,0,2,2895947,0.013152174400981785
37950,IS,2020,2,1,0,0,0,0,2,328170,0.11564128348112258
35968,LU,2020,2,1,0,0,0,0,2,549700,0.06543205384755321
31574,LB,2020,2,1,0,0,0,0,2,4104000,0.007693469785575049
29933,HN,2020,2,1,0,0,0,0,2,8725111,0.0034306726871440375
29797,KH,2020,2,0,0,0,0,0,2,15184116,0.001962379634086041
29632,PS,2020,2,1,0,0,0,0,2,5483450,0.005403897181518934
28769,RW,2020,2,1,0,0,0,0,2,10996891,0.002616103042214386
27051,MT,2020,2,1,0,0,0,0,2,416055,0.06501784619821899
26728,CM,2020,2,0,0,0,0,0,2,20386799,0.001311044465587756
24383,CY,2020,2,1,0,0,0,0,2,858000,0.02841841491841492
23727,PA,2020,2,1,0,0,0,0,2,3713312,0.00638971354952129
21415,TZ,2020,2,1,0,0,0,0,2,47421786,0.00045158569101551765
21310,PR,2020,2,0,0,0,0,0,2,3615086,0.005894742199770628
20847,PY,2020,2,1,0,0,0,0,2,6893727,0.003024053606996622
19903,KW,2020,2,1,0,0,0,0,2,3268431,0.006089466168935492
18893,SN,2020,2,1,0,0,0,0,2,13508715,0.0013985786212826312
18318,ET,2020,2,0,0,0,0,0,2,87952991,0.00020827034750870495
15419,CU,2020,2,0,0,0,0,0,2,11210064,0.0013754604790837948
14371,NI,2020,2,1,0,0,0,0,2,6134270,0.0023427400489381784
14026,JM,2020,2,1,0,0,0,0,2,2717991,0.005160429155210595
13013,CI,2020,2,1,0,0,0,0,2,23821000,0.00054628269174258
12480,QA,2020,2,1,0,0,0,0,2,2269672,0.00549859186701867
12270,MU,2020,2,1,0,0,0,0,2,1261208,0.00972876797483048
12076,TT,2020,2,1,0,0,0,0,2,1328019,0.009093243394861068
11500,ZW,2020,2,0,0,0,0,0,2,13061239,0.0008804677718553348
10881,SY,2020,2,0,0,0,0,0,2,22964324,0.00047382191611649443
10782,ME,2020,2,1,0,0,0,0,2,602445,0.017897069442023752
10403,MN,2020,2,1,0,0,0,0,2,2987733,0.003481904172829366
10356,MO,2020,2,0,0,0,0,0,2,631000,0.016412044374009508
10234,MG,2020,2,1,0,0,0,0,2,21842167,0.0004685432539729231
9494,RE,2020,2,0,0,0,0,0,2,840974,0.011289290750962574
8605,AO,2020,2,1,0,0,0,0,2,24383301,0.0003529054577146876
7683,OM,2020,2,1,0,0,0,0,2,4089076,0.0018789085847267207
7599,SD,2020,2,0,0,0,0,0,2,37289406,0.00020378442070115036
7455,BH,2020,2,0,0,0,0,0,2,1316500,0.005662742119255602
7391,MZ,2020,2,1,0,0,0,0,2,25041922,0.00029514507712307384
6209,MV,2020,2,1,0,0,0,0,2,341256,0.018194551890662727
6205,CD,2020,2,0,0,0,0,0,2,69360000,8.946078431372548e-05
5329,LA,2020,2,0,0,0,0,0,2,6693300,0.0007961693036319902
4771,ZM,2020,2,1,0,0,0,0,2,15023315,0.00031757305228573057
4684,BJ,2020,2,1,0,0,0,0,2,9988068,0.0004689595625500347
4609,TJ,2020,2,0,0,0,0,0,2,8161000,0.0005647592206837397
